Number,"Asset Key","Asset Definition",Status,Service,"Access Point"
249884,08:26:97:7b:64:DD,zyxel,"Not Available",1251692423,
271044,08:26:97:95:57:43,Zyxel,"Not Available",1251803445,
288848,4C:C5:3E:5E:B2:D5,Zyxel,"Not Available",1251804532,
252257,08:26:97:7c:9e:2d,Zyxel,"Not Available",1251686557,
274355,08:26:97:94:19:a3,Zyxel,"Not Available",1251754398,
298307,4c:c5:3e:79:d3:d4,zyxel,"Not Available",1251823047,
275876,4C:C5:3E:5F:2A:75,Zyxel,"Not Available",1251773965,
243436,98:0d:67:f3:9a:6c,zyxel,"Not Available",1251673224,
269250,08:26:97:84:c9:21,Zyxel,"Not Available",1251743945,
284284,4c:c5:3e:5e:b2:99,zyxel,"Not Available",1251795027,
271326,08:26:97:94:67:EB,Zyxel,"Not Available",1251757067,
252689,08:26:97:72:ac:f5,zyxel,"Not Available",1251694603,
274587,08:26:97:95:09:37,Zyxel,"Not Available",1251767738,
298665,08:26:97:94:2A:53,Zyxel,"Not Available",1251818917,
257549,08:26:97:89:65:d9,zyxel,"Not Available",1251720938,
257570,08:26:97:84:ba:f9,Zyxel,"Not Available",1251718592,
262214,08:26:97:84:5e:a1,Zyxel,"Not Available",1251734241,
282140,08:26:97:93:43:d7,Zyxel,"Not Available",1251777254,
243837,08:26:97:6B:AC:D6,zyxel,"Not Available",1251680609,
269743,08:26:97:84:a9:95,Zyxel,"Not Available",1251741392,
284573,4C:C5:3E:5E:ca:21,Zyxel,"Not Available",1251785178,
250571,08:26:97:84:cb:b5,zyxel,"Not Available",1251691202,
271607,08:26:97:95:38:3b,Zyxel,"Not Available",1251823555,
292059,08:26:97:76:3f:89,zyxel,"Not Available",1251816644,
237565,08:26:97:72:a9:f5,zyxel,"Not Available",1251663494,
255251,08:26:97:84:a6:05,Zyxel,"Not Available",1251712738,
274812,4C:C5:3E:5F:41:B5,Zyxel,"Not Available",1251769228,
281042,4C:C5:3E:5F:1D:A9,Zyxel,"Not Available",1251781656,
263283,08:26:97:88:e8:c9,Zyxel,"Not Available",1251747321,
282630,08:26:97:93:5e:b3,zyxel,"Not Available",1508636,
245254,08:26:97:7c:65:d5,zyxel,"Not Available",1251676524,
284965,4c:c5:3e:5f:20:9d,Zyxel,"Not Available",1387231,
271933,08:26:97:93:44:37,Zyxel,"Not Available",1251758679,
292455,4C:C5:3E:7A:C3:C8,Zyxel,"Not Available",1251819102,
275106,08:26:97:94:d3:4f,Zyxel,"Not Available",1251760783,
299801,4c:c5:3e:79:d7:4c,zyxel,"Not Available",1251831527,
281241,08:26:97:94:1f:a3,Zyxel,"Not Available",1251781165,
256605,08:26:97:84:8A:A5,zyxel,"Not Available",1251714900,
258142,08:26:97:84:B5:A1,Zyxel,"Not Available",1251709309,
281270,08:26:97:95:36:d3,Zyxel,"Not Available",1585095,
239399,08:26:97:61:57:17,zyxel,"Not Available",1251730757,
264515,08:26:97:84:c3:99,Zyxel,"Not Available",1251738222,
282963,08:26:97:94:24:A7,Zyxel,"Not Available",1251783701,
246529,08:26:97:6b:a7:ba,zyxel,"Not Available",1251688988,
270587,08:26:97:88:e0:59,Zyxel,"Not Available",1251750619,
251804,08:26:97:7b:7a:c1,zyxel,"Not Available",1251706785,
273970,08:26:97:95:35:17,Zyxel,"Not Available",1251757644,
292876,08:26:97:93:50:37,Zyxel,"Not Available",1251795334,
256931,08:26:97:84:80:D9,zyxel,"Not Available",1251705496,
275407,08:26:97:76:61:CD,zyxel,"Not Available",1251723073,
258681,08:26:97:89:58:7d,Zyxel,"Not Available",1251727888,
281607,08:26:97:93:51:1b,zyxel,"Not Available",1251784227,
242613,08:26:97:72:a6:59,zyxel,"Not Available",1251675383,
265012,08:26:97:84:aa:85,Zyxel,"Not Available",1251740826,
283813,08:26:97:94:2E:73,Zyxel,"Not Available",1251791723,
246922,08:26:97:7b:6e:25,zyxel,"Not Available",1251691592,
270902,08:26:97:76:5d:0e,zyxel,"Not Available",1251753714,
288594,08:26:97:68:39:37,zyxel,"Not Available",1251803225,
274215,08:26:97:94:19:7f,Zyxel,"Not Available",1251765164,
298071,4C:C5:3E:79:D8:9C,Zyxel,"Not Available",1251818928,
246951,08:26:97:6b:a4:42,zyxel,"Not Available",1251679170,
252021,08:26:97:84:5f:A9,zyxel,"Not Available",1251679993,
257210,08:26:97:89:57:45,zyxel,"Not Available",1251718382,
275713,4C:C5:3E:5F:26:49,Zyxel,"Not Available",1251769175,
259004,08:26:97:88:ed:6d,Zyxel,"Not Available",1251664103,
281824,08:26:97:64:50:05,Zyxel,"Not Available",1251819947,
243229,08:26:97:72:52:71,zyxel,"Not Available",1251659664,
269128,08:26:97:94:D4:3F,Zyxel,"Not Available",1251736469,
284137,4c:c5:3e:5e:b0:d1,Zyxel,"Not Available",1251793387,
250052,08:26:97:7b:75:ed,zyxel,"Not Available",1251690628,
271192,08:26:97:95:5c:23,Zyxel,"Not Available",1251729001,
